output,X1,X2,X3,X4,X5,beta,offset
116.859,2000,9.9,0.1524,31.7,0.0252785,-1e-15,
119.541,6300,0.0,0.3048,71.3,0.00266337,-1e-15,
123.311,3150,5.4,0.1524,71.3,0.00401199,-1e-15,
130.43,800,15.4,0.0508,55.5,0.0271925,1e-15,
121.499,5000,2.7,0.1524,39.6,0.00294804,-1e-15,
122.235,2000,6.7,0.1016,39.6,0.00578076,-1e-15,
130.558,315,7.2,0.1524,39.6,0.00909175,1e-15,
129.267,1600,0.0,0.0254,31.7,0.000439472,1e-15,
117.154,6300,4.0,0.2286,55.5,0.0042862,-1e-15,
120.851,6300,3.3,0.1016,39.6,0.00245138,-1e-15,
120.055,2000,19.7,0.0508,71.3,0.034118300000000004,-1e-15,
120.538,8000,12.7,0.0254,71.3,0.0121808,-1e-15,
134.85299999999998,630,7.2,0.1524,71.3,0.00752039,1e-15,
128.16899999999998,500,7.3,0.2286,31.7,0.0132672,1e-15,
121.514,3150,3.0,0.3048,71.3,0.00425727,-1e-15,
118.955,4000,8.4,0.0508,39.6,0.00566229,-1e-15,
115.234,2500,12.6,0.1524,71.3,0.0483159,-1e-15,
117.741,4000,1.5,0.3048,39.6,0.00392107,-1e-15,
137.047,4000,0.0,0.0254,31.7,0.000439472,1e-15,
130.503,3150,0.0,0.0254,55.5,0.00041229,1e-15,
133.04,2500,0.0,0.1016,55.5,0.00131983,1e-15,
128.35399999999998,200,12.6,0.1524,71.3,0.0483159,1e-15,
124.156,1600,0.0,0.0254,39.6,0.000428464,-1e-15,
131.458,2500,6.7,0.1016,71.3,0.00478288,1e-15,
128.762,1250,2.0,0.2286,55.5,0.00313525,1e-15,
112.945,4000,9.9,0.1524,55.5,0.0208438,-1e-15,
126.835,500,9.9,0.1524,39.6,0.0233328,1e-15,
112.848,8000,4.0,0.2286,71.3,0.00400603,-1e-15,
126.343,1250,4.0,0.3048,39.6,0.00579636,0.0,
133.235,250,9.9,0.1524,55.5,0.0208438,1e-15,
108.684,4000,19.7,0.0508,39.6,0.036484,-1e-15,
114.453,5000,15.4,0.0508,39.6,0.0282593,-1e-15,
134.976,2000,9.5,0.0254,71.3,0.00420654,1e-15,
130.746,800,9.5,0.0254,31.7,0.00461377,1e-15,
126.201,800,0.0,0.3048,71.3,0.00266337,-1e-15,
131.836,2500,0.0,0.0254,39.6,0.000428464,1e-15,
125.398,400,3.0,0.3048,31.7,0.00529514,-1e-15,
127.623,2000,0.0,0.0254,55.5,0.00041229,1e-15,
132.769,1250,3.3,0.1016,55.5,0.002211,1e-15,
133.04,6300,0.0,0.0508,71.3,0.000740478,1e-15,
131.236,2500,4.8,0.0254,39.6,0.000907475,1e-15,
128.879,800,9.9,0.1524,71.3,0.0193001,1e-15,
126.446,1250,22.2,0.0254,39.6,0.0229028,0.0,
109.222,12500,1.5,0.3048,71.3,0.00336729,-1e-15,
127.054,3150,2.7,0.1524,71.3,0.00243851,1e-15,
129.977,1600,12.7,0.0254,39.6,0.013025299999999998,1e-15,
132.251,500,5.3,0.2286,39.6,0.00614329,1e-15,
135.329,250,9.9,0.1524,71.3,0.0193001,1e-15,
113.297,16000,0.0,0.1524,71.3,0.0015988,1e-15,
124.049,1600,0.0,0.3048,39.6,0.00310138,-1e-15,
128.2,1600,15.4,0.0508,55.5,0.0271925,1e-15,
122.797,2000,2.0,0.2286,39.6,0.00346574,-1e-15,
133.924,4000,4.8,0.0254,55.5,0.000873218,1e-15,
127.548,500,3.0,0.3048,31.7,0.00529514,1e-15,
128.265,400,12.3,0.1016,39.6,0.0408268,1e-15,
137.007,3150,0.0,0.0254,71.3,0.000400682,1e-15,
126.045,630,8.4,0.0508,39.6,0.00566229,-1e-15,
128.971,630,5.4,0.1524,71.3,0.00401199,1e-15,
116.724,10000,2.7,0.1524,71.3,0.00243851,-1e-15,
121.944,6300,2.7,0.1524,71.3,0.00243851,-1e-15,
122.232,4000,2.0,0.2286,55.5,0.00313525,-1e-15,
