class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,lambda,offset
4,4,7,4,5,2,6,7,10,9,7,7,6,3,8,4,8,0.0,
4,6,12,6,6,4,6,8,5,7,9,6,6,5,9,7,5,0.0989528993812,-0.026861674041071648
21,5,9,5,4,3,7,6,4,5,6,7,8,5,6,3,7,0.291750276971,-0.03236029212504965
4,5,11,5,8,3,6,7,11,10,7,6,6,3,8,4,8,0.0490040618203,-0.022446688793762437
21,2,3,3,2,1,5,8,5,6,9,8,8,3,9,2,6,0.0,
21,6,9,8,8,7,7,6,5,4,6,7,8,7,8,2,7,0.51984935617,-0.02736075891392664
21,3,6,4,4,1,7,4,13,5,7,13,8,3,9,0,8,0.0,
4,4,11,4,8,3,5,7,11,8,7,6,5,3,8,4,8,0.308469478054,-0.02424343124254258
4,4,8,6,6,5,8,8,5,6,10,5,4,3,8,4,8,0.0,
21,5,4,6,7,2,7,4,14,6,7,15,8,3,9,0,8,0.259240963197,-0.021550086880432362
21,4,9,4,7,2,7,5,14,5,7,14,8,3,9,0,8,0.0,
21,2,4,3,3,1,4,8,5,6,11,9,9,3,9,1,7,0.291672204647,-0.02937534100174466
4,6,9,6,4,3,12,2,4,5,12,2,9,4,7,2,10,0.64,
4,4,11,5,8,5,5,7,10,7,6,5,6,3,8,3,8,0.0569361698525,-0.025898109329963726
4,5,9,5,6,5,5,7,8,6,5,4,6,3,8,4,9,0.380650656693,-0.028490645080746724
4,4,8,6,7,5,5,6,6,7,8,6,8,4,5,6,5,0.60140535445,-0.030049398266430494
21,5,6,6,4,2,4,8,5,8,11,11,9,3,9,1,6,0.0,
4,1,0,1,0,0,6,7,7,5,7,6,6,2,8,3,8,0.0,
21,5,8,5,6,3,3,10,5,6,13,12,9,3,9,1,7,0.581806912695,-0.029100554811615442
21,7,9,7,6,5,4,8,5,8,9,6,9,7,9,6,2,0.482164830475,-0.029609133897843587
21,2,6,3,4,1,8,6,13,5,7,13,8,3,9,0,8,0.0,
21,9,13,8,7,5,8,5,5,5,6,9,8,5,9,3,8,0.501254752023,-0.02407538349021432
4,3,5,4,3,2,8,7,7,8,6,6,3,2,8,3,7,0.536768108236,-0.02323121704799891
4,2,3,3,1,2,7,7,6,6,7,6,5,2,8,3,7,0.0,
4,3,9,5,7,8,9,6,5,5,7,5,5,4,7,11,6,0.64,
21,11,15,10,9,5,9,7,6,6,2,10,6,6,7,3,6,0.64,
4,5,9,7,6,6,8,7,5,6,10,6,5,3,8,4,9,0.0,
4,5,10,6,7,5,5,7,9,7,6,5,4,3,8,5,10,0.40105661917,-0.02337465813673334
4,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7,0.0,
21,4,5,5,4,3,6,8,5,7,7,10,10,3,9,1,8,0.0225443793727,-0.03026612842412546
4,5,11,5,8,3,5,8,11,9,7,7,5,3,8,4,8,0.0123867033084,-0.027672313666187165
21,4,9,6,7,4,7,9,5,7,5,9,9,3,9,1,8,0.0830756789559,-0.02512084641351786
4,5,9,6,7,6,8,8,7,6,8,7,3,5,8,4,9,0.253401431285,-0.029895304774407716
4,3,5,5,4,3,9,6,4,6,10,4,6,2,8,3,8,0.0,
21,7,13,7,7,3,6,5,5,6,3,9,8,5,9,2,7,0.584260760378,-0.026782552998331766
21,6,10,6,8,3,8,4,15,6,7,15,8,3,9,0,8,0.316786753344,-0.023648200659773688
4,4,9,4,4,3,7,8,4,7,10,5,6,4,8,5,6,0.520268080057,-0.02553112942086644
21,3,7,3,5,1,7,5,13,5,7,13,8,3,9,0,8,0.0,
4,5,6,6,5,5,6,7,5,7,6,4,7,3,7,5,6,0.0,
4,5,10,8,8,5,9,8,5,8,10,5,4,4,7,5,9,0.291161994963,-0.0253332501918333
21,2,3,3,1,1,4,8,5,6,11,10,8,3,10,1,6,0.26356322853,-0.027657916484900236
4,5,9,6,7,3,6,8,11,10,8,7,6,3,8,4,8,0.469358562263,-0.03367191236255174
4,7,13,7,7,4,10,4,3,6,10,2,7,5,7,4,12,0.0,
4,4,8,5,6,4,7,7,5,5,7,6,7,4,8,3,7,0.64,
4,3,4,5,3,3,8,7,4,6,9,5,6,2,8,3,8,0.0306480663108,-0.03381395216278449
4,2,3,3,2,2,9,6,4,6,10,5,6,2,8,2,8,0.0,
4,4,5,4,8,3,5,7,11,8,7,7,5,3,8,4,8,0.386158765311,-0.029261065352679028
21,5,10,6,8,2,7,5,13,6,8,15,8,3,9,0,8,0.306993718167,-0.026303556121563654
21,9,13,8,8,5,8,5,4,6,6,7,6,6,8,4,6,0.64,
21,5,10,7,8,5,5,9,6,8,8,10,9,3,9,1,8,0.0,
21,4,9,5,7,4,8,6,13,4,7,11,8,3,9,0,8,0.0,
21,8,11,8,8,6,3,8,5,8,10,8,10,5,10,4,4,0.584854194784,-0.024719199673244097
4,4,11,6,8,5,8,7,6,8,7,6,5,6,8,3,7,0.204284568398,-0.03241153109251238
21,2,6,3,4,1,8,6,12,5,7,13,8,3,9,0,8,0.111830270702,-0.023932419821896422
21,9,10,9,8,7,5,7,5,9,8,6,9,8,9,6,1,0.0,
4,7,10,7,5,3,10,4,4,5,11,3,8,5,7,5,11,0.188361196461,-0.0228003668915413
21,5,4,5,6,2,7,4,14,5,7,14,8,3,9,0,8,0.0,
21,4,9,6,6,3,4,9,7,7,10,11,9,3,9,1,8,0.0118288749235,-0.02707986658849748
21,3,3,3,4,1,7,6,13,5,7,13,8,3,9,0,8,0.0569883106113,-0.025450101393424962
4,5,10,6,8,6,6,8,9,7,7,7,5,3,6,5,9,0.50548695543,-0.020715575907062522
21,5,7,6,5,5,8,7,8,5,6,7,9,3,8,4,6,0.0,
21,3,7,3,5,2,8,6,12,4,7,11,8,3,9,0,8,0.0,
21,5,10,8,8,11,9,6,4,4,7,7,7,8,8,5,7,0.625308523154,-0.027605411066165875
21,4,6,6,4,3,5,8,7,8,9,10,10,3,9,1,8,0.362867125705,-0.024899287960975736
21,5,9,7,6,6,8,8,8,5,6,7,9,3,8,4,5,0.0,
21,4,5,5,4,2,4,8,5,7,11,10,9,3,9,2,6,0.0,
4,2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,8,0.0,
21,2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8,0.205037209213,-0.021402780175077574
4,6,9,5,5,4,6,7,5,6,9,6,7,5,9,6,5,0.432172917085,-0.02479634203342851
21,4,4,5,3,2,4,9,5,7,11,10,9,3,9,2,7,0.0,
21,1,0,1,0,0,7,6,10,4,7,12,8,3,10,0,8,0.0,
4,4,10,5,8,5,7,7,6,7,7,7,5,6,8,3,7,0.370495282303,-0.027936591029328328
4,5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8,0.54259833541,-0.02545173961028291
4,4,8,5,6,4,7,8,7,8,8,7,5,3,8,3,7,0.0,
21,4,10,4,7,2,7,5,15,5,7,13,8,3,9,0,8,0.0,
21,4,2,5,3,2,7,8,6,8,7,10,9,3,9,1,8,0.13948188109,-0.03452678031281753
4,4,9,6,7,6,9,7,4,6,10,5,5,3,8,3,8,0.0,
21,4,7,5,5,2,7,5,12,5,7,15,8,3,9,0,8,0.0731061401089,-0.021225469679094777
4,4,10,5,8,6,7,7,6,6,6,5,5,3,8,3,7,0.197014781408,-0.025768513972953766
21,5,9,6,6,6,8,6,8,5,7,6,9,3,8,4,5,0.196364292916,-0.024516413126246084
21,3,6,5,4,4,8,8,8,5,6,7,9,3,8,4,6,0.0,
21,5,9,5,6,4,4,8,5,7,10,9,9,3,9,2,5,0.108409649887,-0.026816478337497007
4,4,9,5,6,5,7,7,6,6,7,6,5,3,8,3,7,0.0,
4,3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,0.0,
21,5,7,6,5,4,5,7,5,7,9,7,9,3,9,3,6,0.17661766172,-0.022157742654207224
21,3,6,4,4,2,7,4,14,5,7,13,8,3,9,0,8,0.0,
21,3,6,4,4,1,8,5,13,5,7,14,8,3,9,0,8,0.0,
4,1,0,1,1,0,6,7,8,5,7,6,6,2,8,2,8,0.145416918255,-0.031473237758455674
4,8,14,7,8,6,7,7,4,7,10,6,7,6,7,8,4,0.515456902145,-0.03046158901398055
21,3,5,4,3,2,5,8,4,7,10,8,9,3,9,2,6,0.0397263386347,-0.03578500231854653
21,3,6,4,6,4,8,7,4,3,6,6,8,4,8,1,7,0.0195312797669,-0.026652410887548883
4,7,12,6,6,4,10,4,3,6,10,2,7,4,7,4,12,0.130578473397,-0.03129581097129641
21,3,3,3,4,2,7,4,14,5,7,12,8,3,9,0,8,0.358753853873,-0.026027742443625712
21,5,9,5,7,2,7,4,14,5,7,14,8,3,9,0,8,0.0,
21,9,11,8,6,4,9,6,6,7,3,9,7,5,9,3,5,0.64,
4,2,7,4,5,4,7,7,6,5,7,6,4,3,8,2,7,0.112273635851,-0.02675131517998608
4,3,5,4,7,2,5,6,11,7,5,5,5,3,8,4,8,0.445281649656,-0.026863812556462197
21,5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8,0.572415185192,-0.024965369752640854
4,3,4,5,3,3,9,6,4,6,10,4,5,2,8,3,8,0.0,
4,3,7,3,5,2,5,7,10,8,7,6,5,3,8,4,8,0.0,
21,5,7,5,5,3,4,8,6,6,9,8,9,3,9,3,5,0.0,
4,3,6,3,4,2,6,8,9,8,8,7,6,3,8,3,8,0.225834785165,-0.026981315919953897
21,2,0,2,1,0,8,5,11,4,7,13,8,3,10,0,8,0.0,
21,8,11,9,8,6,4,8,6,8,9,7,9,7,9,6,1,0.158190211204,-0.027269202317291463
4,2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7,0.0,
4,6,11,6,6,3,10,4,3,6,9,3,7,4,7,4,11,0.280343136779,-0.029806166067453788
4,3,5,4,4,3,7,7,7,7,6,6,5,2,8,3,7,0.0,
21,6,8,7,6,5,4,8,5,7,9,7,9,4,8,3,4,0.0948364450337,-0.0250285169193164
4,4,7,4,5,4,5,7,8,7,6,5,6,2,8,3,8,0.0,
4,5,11,7,8,6,7,8,8,7,7,7,4,4,7,5,9,0.229328224407,-0.027627455775657284
4,3,7,3,5,3,6,7,9,7,6,5,6,2,8,3,7,0.0701848597233,-0.02923288441852545
4,10,15,9,8,6,9,5,4,7,9,5,7,6,10,6,8,0.64,
4,2,4,4,3,2,8,7,4,6,10,4,5,2,8,2,8,0.0,
4,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7,0.0,
4,4,8,6,6,4,8,7,5,7,11,5,5,3,8,3,8,0.0,
4,4,9,5,7,3,5,7,10,8,7,6,5,3,8,4,8,0.0,
21,5,11,8,8,11,9,6,4,4,6,7,7,11,8,5,7,0.359128473027,-0.02985142481076397
4,5,11,7,8,5,11,5,4,7,10,2,6,3,8,3,9,0.362767693209,-0.024792549587906443
21,5,11,6,8,2,8,5,14,5,6,14,9,3,9,0,8,0.381286441796,-0.02782504855907031
4,5,10,6,8,6,7,7,7,7,7,6,5,3,8,3,7,0.0,
4,6,9,6,5,3,8,6,5,6,10,4,6,4,7,6,10,0.0909026909071,-0.0332709951814798
21,1,0,2,1,0,8,6,11,4,7,12,8,3,10,0,8,0.130813860578,-0.024824863559999355
21,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6,0.12424716236,-0.03126182507449038
4,4,8,6,6,8,9,7,5,6,7,5,6,5,6,8,7,0.00187457329695,-0.02863344789809119
4,5,6,7,5,5,6,7,5,7,7,4,7,3,7,5,6,0.115536927441,-0.028870886540360186
4,8,14,7,8,5,6,7,5,6,9,6,6,5,8,7,4,0.425170586039,-0.02879293859484422
21,2,1,3,2,1,8,8,6,6,5,9,8,3,9,1,8,0.309413244492,-0.03272065479018438
21,3,7,5,5,4,8,9,8,5,4,7,11,3,7,3,7,0.637063342868,-0.03184023807484859
4,4,9,6,6,5,6,7,8,7,7,7,5,3,8,3,8,0.0,
4,5,3,6,4,4,7,7,7,7,7,6,4,3,8,3,7,0.542166229759,-0.032402104559881906
4,6,9,8,7,6,10,6,3,7,11,4,7,4,7,4,9,0.0,
4,5,8,6,6,4,10,6,3,8,11,4,6,3,8,3,9,0.0,
21,5,8,5,6,2,7,4,14,6,7,14,8,3,9,0,8,0.0,
4,2,1,2,1,1,7,7,6,6,7,6,5,2,8,2,7,0.0,
21,8,9,9,7,5,5,6,6,9,8,6,8,5,9,5,2,0.64,
21,8,9,9,7,4,3,8,6,8,10,11,10,3,9,2,5,0.227455600262,-0.03051207673832146
21,6,10,5,5,3,7,5,4,5,3,8,6,5,7,2,7,0.467216766891,-0.02363305499619306
21,6,7,6,5,3,3,8,5,7,10,10,9,3,9,2,6,0.0,
21,3,2,4,4,2,6,8,5,6,6,8,9,6,10,1,7,0.621354368563,-0.028398951320280252
4,4,8,6,6,4,7,8,7,6,10,6,5,3,8,4,8,0.0,
21,6,9,6,7,4,5,7,7,8,8,6,9,3,9,3,4,0.64,
21,4,9,5,6,4,7,6,12,4,6,12,8,3,9,0,8,-2.68611088233e-17,
4,1,0,2,0,0,6,7,7,6,7,6,6,2,8,3,8,0.0805675829882,-0.0308526783948484
21,2,1,3,2,1,7,8,6,7,7,10,8,3,9,1,8,0.0,
21,8,13,8,7,5,7,6,5,5,7,8,8,5,7,3,8,0.0,
21,2,5,4,4,3,7,7,3,3,6,6,9,4,8,1,8,0.630440106966,-0.026220709489672256
4,4,7,5,5,2,5,7,10,9,7,7,6,3,8,4,8,0.000687915155209,-0.03046892405762791
21,4,4,5,3,2,4,8,5,8,10,9,9,3,9,2,6,0.0,
21,3,3,3,5,1,8,5,13,5,6,13,8,3,9,0,8,0.0,
21,4,11,6,8,4,8,8,6,7,4,8,9,6,10,1,8,0.64,
