class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,lambda,offset
4,4,7,4,5,2,6,7,10,9,7,7,6,3,8,4,8,0.0,
4,6,12,6,6,4,6,8,5,7,9,6,6,5,9,7,5,0.0722977190141,-0.029672433501113815
21,5,9,5,4,3,7,6,4,5,6,7,8,5,6,3,7,0.320693439484,-0.0274090037327539
4,5,11,5,8,3,6,7,11,10,7,6,6,3,8,4,8,0.0299393767661,-0.027632080262682823
21,2,3,3,2,1,5,8,5,6,9,8,8,3,9,2,6,0.0,
21,6,9,8,8,7,7,6,5,4,6,7,8,7,8,2,7,0.510153943361,-0.02491405644808986
21,3,6,4,4,1,7,4,13,5,7,13,8,3,9,0,8,0.0,
4,4,11,4,8,3,5,7,11,8,7,6,5,3,8,4,8,0.322351045135,-0.031188273699821245
4,4,8,6,6,5,8,8,5,6,10,5,4,3,8,4,8,0.0,
21,5,4,6,7,2,7,4,14,6,7,15,8,3,9,0,8,0.254336602264,-0.024715687049623902
21,4,9,4,7,2,7,5,14,5,7,14,8,3,9,0,8,0.0,
21,2,4,3,3,1,4,8,5,6,11,9,9,3,9,1,7,0.288165950371,-0.03164619885268338
4,6,9,6,4,3,12,2,4,5,12,2,9,4,7,2,10,0.658041560956,-0.026863988549486795
4,4,11,5,8,5,5,7,10,7,6,5,6,3,8,3,8,0.0341184503494,-0.03106020772595386
4,5,9,5,6,5,5,7,8,6,5,4,6,3,8,4,9,0.359065935904,-0.028620915770615873
4,4,8,6,7,5,5,6,6,7,8,6,8,4,5,6,5,0.602286532491,-0.023612890864792124
21,5,6,6,4,2,4,8,5,8,11,11,9,3,9,1,6,0.0,
4,1,0,1,0,0,6,7,7,5,7,6,6,2,8,3,8,0.0,
21,5,8,5,6,3,3,10,5,6,13,12,9,3,9,1,7,0.586146971072,-0.02191208677763745
21,7,9,7,6,5,4,8,5,8,9,6,9,7,9,6,2,0.482863811944,-0.022763299624506628
21,2,6,3,4,1,8,6,13,5,7,13,8,3,9,0,8,0.00314453450054,-0.024012753616460936
21,9,13,8,7,5,8,5,5,5,6,9,8,5,9,3,8,0.499847178857,-0.02430200346192013
4,3,5,4,3,2,8,7,7,8,6,6,3,2,8,3,7,0.547365334512,-0.025008684779891155
4,2,3,3,1,2,7,7,6,6,7,6,5,2,8,3,7,0.0,
4,3,9,5,7,8,9,6,5,5,7,5,5,4,7,11,6,0.665908600813,-0.02700481913142805
21,11,15,10,9,5,9,7,6,6,2,10,6,6,7,3,6,0.82,
4,5,9,7,6,6,8,7,5,6,10,6,5,3,8,4,9,0.0,
4,5,10,6,7,5,5,7,9,7,6,5,4,3,8,5,10,0.393526331459,-0.031897738760408245
4,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7,0.0,
21,4,5,5,4,3,6,8,5,7,7,10,10,3,9,1,8,0.0287467149947,-0.026667564888690376
4,5,11,5,8,3,5,8,11,9,7,7,5,3,8,4,8,0.0260340355033,-0.03387347013664321
21,4,9,6,7,4,7,9,5,7,5,9,9,3,9,1,8,0.0753947632615,-0.02936485070452588
4,5,9,6,7,6,8,8,7,6,8,7,3,5,8,4,9,0.252137448555,-0.027743569551537117
4,3,5,5,4,3,9,6,4,6,10,4,6,2,8,3,8,0.0,
21,7,13,7,7,3,6,5,5,6,3,9,8,5,9,2,7,0.578393917864,-0.025448089086153036
21,6,10,6,8,3,8,4,15,6,7,15,8,3,9,0,8,0.308425362582,-0.02792978187143702
4,4,9,4,4,3,7,8,4,7,10,5,6,4,8,5,6,0.526087581411,-0.031881697277035714
21,3,7,3,5,1,7,5,13,5,7,13,8,3,9,0,8,0.0,
4,5,6,6,5,5,6,7,5,7,6,4,7,3,7,5,6,0.0,
4,5,10,8,8,5,9,8,5,8,10,5,4,4,7,5,9,0.298106100905,-0.032897211471190735
21,2,3,3,1,1,4,8,5,6,11,10,8,3,10,1,6,0.255799497974,-0.030857317258754513
4,5,9,6,7,3,6,8,11,10,8,7,6,3,8,4,8,0.466844686966,-0.03295225318266315
4,7,13,7,7,4,10,4,3,6,10,2,7,5,7,4,12,0.0,
4,4,8,5,6,4,7,7,5,5,7,6,7,4,8,3,7,0.72729613302,-0.02341884211573042
4,3,4,5,3,3,8,7,4,6,9,5,6,2,8,3,8,0.0281170720801,-0.024732435092051475
4,2,3,3,2,2,9,6,4,6,10,5,6,2,8,2,8,0.0,
4,4,5,4,8,3,5,7,11,8,7,7,5,3,8,4,8,0.384109430359,-0.02652414836286532
21,5,10,6,8,2,7,5,13,6,8,15,8,3,9,0,8,0.312627216499,-0.0226123396132466
21,9,13,8,8,5,8,5,4,6,6,7,6,6,8,4,6,0.708203165018,-0.024314632111224865
21,5,10,7,8,5,5,9,6,8,8,10,9,3,9,1,8,0.0,
21,4,9,5,7,4,8,6,13,4,7,11,8,3,9,0,8,0.0,
21,8,11,8,8,6,3,8,5,8,10,8,10,5,10,4,4,0.586350504513,-0.022162601819127326
4,4,11,6,8,5,8,7,6,8,7,6,5,6,8,3,7,0.201263841064,-0.03389900949264413
21,2,6,3,4,1,8,6,12,5,7,13,8,3,9,0,8,0.0833866625051,-0.031734397166679584
21,9,10,9,8,7,5,7,5,9,8,6,9,8,9,6,1,0.0,
4,7,10,7,5,3,10,4,4,5,11,3,8,5,7,5,11,0.200973400158,-0.03341850215697462
21,5,4,5,6,2,7,4,14,5,7,14,8,3,9,0,8,0.0,
21,4,9,6,6,3,4,9,7,7,10,11,9,3,9,1,8,0.0101941328661,-0.029926127355182075
21,3,3,3,4,1,7,6,13,5,7,13,8,3,9,0,8,0.0639926723109,-0.022615362209996603
4,5,10,6,8,6,6,8,9,7,7,7,5,3,6,5,9,0.518423739399,-0.03177287387785532
21,5,7,6,5,5,8,7,8,5,6,7,9,3,8,4,6,0.0,
21,3,7,3,5,2,8,6,12,4,7,11,8,3,9,0,8,0.0,
21,5,10,8,8,11,9,6,4,4,7,7,7,8,8,5,7,0.625245429574,-0.030398699349798664
21,4,6,6,4,3,5,8,7,8,9,10,10,3,9,1,8,0.357337296251,-0.02321319844989267
21,5,9,7,6,6,8,8,8,5,6,7,9,3,8,4,5,0.0,
21,4,5,5,4,2,4,8,5,7,11,10,9,3,9,2,6,0.0,
4,2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,8,0.0,
21,2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8,0.132359175712,-0.025262564951537003
4,6,9,5,5,4,6,7,5,6,9,6,7,5,9,6,5,0.439393687758,-0.027966276279491664
21,4,4,5,3,2,4,9,5,7,11,10,9,3,9,2,7,0.0,
21,1,0,1,0,0,7,6,10,4,7,12,8,3,10,0,8,0.0,
4,4,10,5,8,5,7,7,6,7,7,7,5,6,8,3,7,0.369901087778,-0.030454705962772444
4,5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8,0.535817045269,-0.027600578110729357
4,4,8,5,6,4,7,8,7,8,8,7,5,3,8,3,7,0.0,
21,4,10,4,7,2,7,5,15,5,7,13,8,3,9,0,8,0.0,
21,4,2,5,3,2,7,8,6,8,7,10,9,3,9,1,8,0.137100326853,-0.03189684303779372
4,4,9,6,7,6,9,7,4,6,10,5,5,3,8,3,8,0.0,
21,4,7,5,5,2,7,5,12,5,7,15,8,3,9,0,8,0.0548970482605,-0.029642254088210307
4,4,10,5,8,6,7,7,6,6,6,5,5,3,8,3,7,0.180000501624,-0.02871382612632578
21,5,9,6,6,6,8,6,8,5,7,6,9,3,8,4,5,0.18286315578,-0.0252869722578275
21,3,6,5,4,4,8,8,8,5,6,7,9,3,8,4,6,0.0,
21,5,9,5,6,4,4,8,5,7,10,9,9,3,9,2,5,0.102560939355,-0.03236071931382378
4,4,9,5,6,5,7,7,6,6,7,6,5,3,8,3,7,0.0,
4,3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,0.0,
21,5,7,6,5,4,5,7,5,7,9,7,9,3,9,3,6,0.148555164294,-0.03323681582001847
21,3,6,4,4,2,7,4,14,5,7,13,8,3,9,0,8,0.0,
21,3,6,4,4,1,8,5,13,5,7,14,8,3,9,0,8,0.0,
4,1,0,1,1,0,6,7,8,5,7,6,6,2,8,2,8,0.148891772038,-0.02719853881743517
4,8,14,7,8,6,7,7,4,7,10,6,7,6,7,8,4,0.520029873695,-0.03398745211899756
21,3,5,4,3,2,5,8,4,7,10,8,9,3,9,2,6,0.0381704262699,-0.028605219510368762
21,3,6,4,6,4,8,7,4,3,6,6,8,4,8,1,7,0.0317150130515,-0.02676862088107812
4,7,12,6,6,4,10,4,3,6,10,2,7,4,7,4,12,0.105432336053,-0.022607900599116437
21,3,3,3,4,2,7,4,14,5,7,12,8,3,9,0,8,0.350699260843,-0.02886695486353541
21,5,9,5,7,2,7,4,14,5,7,14,8,3,9,0,8,0.0,
21,9,11,8,6,4,9,6,6,7,3,9,7,5,9,3,5,0.793848592034,-0.025903366472048717
4,2,7,4,5,4,7,7,6,5,7,6,4,3,8,2,7,0.110366322096,-0.019426330469005215
4,3,5,4,7,2,5,6,11,7,5,5,5,3,8,4,8,0.44873328317,-0.02930277972461992
21,5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8,0.574300284985,-0.024634074700337516
4,3,4,5,3,3,9,6,4,6,10,4,5,2,8,3,8,0.0,
4,3,7,3,5,2,5,7,10,8,7,6,5,3,8,4,8,0.0,
21,5,7,5,5,3,4,8,6,6,9,8,9,3,9,3,5,0.0,
4,3,6,3,4,2,6,8,9,8,8,7,6,3,8,3,8,0.245409543379,-0.024698436809478475
21,2,0,2,1,0,8,5,11,4,7,13,8,3,10,0,8,0.0,
21,8,11,9,8,6,4,8,6,8,9,7,9,7,9,6,1,0.16311311226,-0.022569243965680386
4,2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7,0.0,
4,6,11,6,6,3,10,4,3,6,9,3,7,4,7,4,11,0.278101239557,-0.032519661282973455
4,3,5,4,4,3,7,7,7,7,6,6,5,2,8,3,7,0.0,
21,6,8,7,6,5,4,8,5,7,9,7,9,4,8,3,4,0.0959055145597,-0.027496827375406707
4,4,7,4,5,4,5,7,8,7,6,5,6,2,8,3,8,8.67361737988e-18,-0.02929942558164722
4,5,11,7,8,6,7,8,8,7,7,7,4,4,7,5,9,0.228690973707,-0.029996306758922175
4,3,7,3,5,3,6,7,9,7,6,5,6,2,8,3,7,0.0671549530184,-0.023783593383267743
4,10,15,9,8,6,9,5,4,7,9,5,7,6,10,6,8,0.82,
4,2,4,4,3,2,8,7,4,6,10,4,5,2,8,2,8,0.0,
4,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7,0.0,
4,4,8,6,6,4,8,7,5,7,11,5,5,3,8,3,8,0.0,
4,4,9,5,7,3,5,7,10,8,7,6,5,3,8,4,8,0.0,
21,5,11,8,8,11,9,6,4,4,6,7,7,11,8,5,7,0.359170902973,-0.03115696260529266
4,5,11,7,8,5,11,5,4,7,10,2,6,3,8,3,9,0.364389725695,-0.026512847274135165
21,5,11,6,8,2,8,5,14,5,6,14,9,3,9,0,8,0.381387600918,-0.028578292058496824
4,5,10,6,8,6,7,7,7,7,7,6,5,3,8,3,7,0.0,
4,6,9,6,5,3,8,6,5,6,10,4,6,4,7,6,10,0.0227202787252,-0.0290349851755205
21,1,0,2,1,0,8,6,11,4,7,12,8,3,10,0,8,0.00478199186382,-0.02875051281501062
21,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6,0.136347000698,-0.026749699158883145
4,4,8,6,6,8,9,7,5,6,7,5,6,5,6,8,7,0.0,
4,5,6,7,5,5,6,7,5,7,7,4,7,3,7,5,6,0.0806428228124,-0.030650813639035324
4,8,14,7,8,5,6,7,5,6,9,6,6,5,8,7,4,0.427460988967,-0.03159133373310663
21,2,1,3,2,1,8,8,6,6,5,9,8,3,9,1,8,0.280960158494,-0.03209471644508377
21,3,7,5,5,4,8,9,8,5,4,7,11,3,7,3,7,0.634115421026,-0.030775442259900032
4,4,9,6,6,5,6,7,8,7,7,7,5,3,8,3,8,0.0,
4,5,3,6,4,4,7,7,7,7,7,6,4,3,8,3,7,0.546614923282,-0.03193081998674918
